Tournament_ID,Tournament_City,Surface,Draw_Size,Tournament_Level,Tournament_Date,Latitude,Longitude
2023-0418,Washington,Hard,64,Tour Event,2023-07-31,38.8950982,-77.0363849
2023-0421,Toronto,Hard,64,Masters,2023-08-07,43.6534817,-79.3839347
2023-0422,Cincinnati,Hard,64,Masters,2023-08-14,39.1012809,-84.5127405
2023-6242,Winston-Salem,Hard,64,Tour Event,2023-08-21,36.0998131,-80.2440518
2023-560,New York,Hard,128,Grand Slam,2023-08-28,40.7127281,-74.0060152
2023-7581,Chengdu,Hard,32,Tour Event,2023-09-20,30.659867,104.063315
2023-9164,Zhuhai,Hard,32,Tour Event,2023-09-20,22.273734,113.5721327
2023-9410,Astana,Hard,32,Tour Event,2023-09-25,51.1282205,71.4306682
2023-0747,Beijing,Hard,32,Tour Event,2023-09-27,39.9057136,116.3912972
2023-5014,Shanghai,Hard,128,Masters,2023-10-02,31.2312707,121.4700152
2023-0429,Stockholm,Hard,32,Tour Event,2023-10-16,59.3251172,18.0710935
2023-0329,Tokyo,Hard,32,Tour Event,2023-10-16,35.6768601,139.7638947
2023-7485,Antwerp,Hard,32,Tour Event,2023-10-16,51.2211097,4.3997081
2023-0328,Basel,Hard,32,Tour Event,2023-10-23,47.5581077,7.5878261
2023-0337,Vienna,Hard,32,Tour Event,2023-10-23,48.2083537,16.3725042
2023-0352,Paris,Hard,64,Masters,2023-10-30,48.8588897,2.320041
2023-0341,Metz,Hard,32,Tour Event,2023-11-06,49.1196964,6.1763552
2023-7434,Sofia,Hard,32,Tour Event,2023-11-06,42.6977028,23.3217359
2023-0605,Turin,Hard,8,Finals,2023-11-13,45.0677551,7.6824892
2023-7696,Jeddah,Hard,8,Finals,2023-11-27,21.5504432,39.1742363
